id,job_title,pay_rate,industry,metro_area,category,level
15805133,Data Entry Specialist,13.5,Finance/Insurance/Investments,Dallas,Data Entry,Entry Level
15805133,Data Entry Specialist,13.5,Finance/Insurance/Investments,Dallas,Data Entry,Entry Level
15805133,Data Entry Specialist,13.5,Finance/Insurance/Investments,Dallas,Data Entry,Entry Level
15805133,Data Entry Specialist,13.5,Finance/Insurance/Investments,Dallas,Data Entry,Entry Level
15805133,Data Entry Specialist,13.5,Finance/Insurance/Investments,Dallas,Data Entry,Entry Level
15805133,Data Entry Specialist,13.5,Finance/Insurance/Investments,Dallas,Data Entry,Entry Level
15805133,Data Entry Specialist,13.5,Finance/Insurance/Investments,Dallas,Data Entry,Entry Level
15805133,Data Entry Specialist,13.5,Finance/Insurance/Investments,Dallas,Data Entry,Entry Level
15805133,Data Entry Specialist,13.5,Finance/Insurance/Investments,Dallas,Data Entry,Entry Level
15805133,Data Entry Specialist,13.5,Finance/Insurance/Investments,Dallas,Data Entry,Entry Level
15805133,Data Entry Specialist,13.5,Finance/Insurance/Investments,Dallas,Data Entry,Entry Level
15325851,CNC Lathe Machinist,21,Professional Services/Consulting,Houston,Machinist,Expert Level
15769655,Student Loan Consultant,22.5,Finance/Insurance/Investments,Sioux Falls,Loan Officer,Intermediate Level
15769655,Student Loan Consultant,22.5,Finance/Insurance/Investments,Sioux Falls,Loan Officer,Intermediate Level
15769655,Student Loan Consultant,22.5,Finance/Insurance/Investments,Sioux Falls,Loan Officer,Intermediate Level
15769655,Student Loan Consultant,22.5,Finance/Insurance/Investments,Sioux Falls,Loan Officer,Intermediate Level
15769655,Student Loan Consultant,22.5,Finance/Insurance/Investments,Sioux Falls,Loan Officer,Intermediate Level
15769655,Student Loan Consultant,22.5,Finance/Insurance/Investments,Sioux Falls,Loan Officer,Intermediate Level
15769655,Student Loan Consultant,22.5,Finance/Insurance/Investments,Sioux Falls,Loan Officer,Intermediate Level
15461043,Technician,19,Unassigned,Dallas,Field Technician,Intermediate Level
14343931,TCS,11.5,Transportation and Heavy Industrial,NULL,Desktop Support/Help Desk,Entry Level
14343931,TCS,13.56,Transportation and Heavy Industrial,NULL,Desktop Support/Help Desk,Entry Level
14343931,TCS,11.5,Transportation and Heavy Industrial,NULL,Desktop Support/Help Desk,Entry Level
14343931,TCS,11.5,Transportation and Heavy Industrial,NULL,Desktop Support/Help Desk,Entry Level
14343931,TCS,13.56,Transportation and Heavy Industrial,NULL,Desktop Support/Help Desk,Entry Level
14343931,TCS,13.56,Transportation and Heavy Industrial,NULL,Desktop Support/Help Desk,Entry Level
14343931,TCS,13.56,Transportation and Heavy Industrial,NULL,Desktop Support/Help Desk,Entry Level
14343931,TCS,11.5,Transportation and Heavy Industrial,NULL,Desktop Support/Help Desk,Entry Level
14343931,TCS,11.5,Transportation and Heavy Industrial,NULL,Desktop Support/Help Desk,Entry Level
14343931,TCS,11.5,Transportation and Heavy Industrial,NULL,Desktop Support/Help Desk,Entry Level
15455584,Construction General Labor,15,Unassigned,Los Angeles,General Laborer/Production,Entry Level
15455584,Construction General Labor,15,Unassigned,Los Angeles,General Laborer/Production,Entry Level
15455584,Construction General Labor,15,Unassigned,Los Angeles,General Laborer/Production,Entry Level
15455584,Construction General Labor,15,Unassigned,Los Angeles,General Laborer/Production,Entry Level
15455584,Construction General Labor,15,Unassigned,Los Angeles,General Laborer/Production,Entry Level
15455584,Construction General Labor,15,Unassigned,Los Angeles,General Laborer/Production,Entry Level
15455584,Construction General Labor,15,Unassigned,Los Angeles,General Laborer/Production,Entry Level
15144841,Customer Service Representative,15,Finance/Insurance/Investments,Fort Lauderdale,Call Center / Customer Service,Entry Level
15807461,Part Time Storage Counselors Sales CSR ,12,Professional Services/Consulting,Phoenix,Inside Sales,Entry Level
15153341,Automotive Collections,16,Finance/Insurance/Investments,Fort Worth,Collections,Entry Level
15406236,Verifier Insurance,15,Healthcare,Detroit,Pharmacy Technician,Intermediate Level
15406236,Verifier Insurance,15,Healthcare,Detroit,Pharmacy Technician,Intermediate Level
15406236,Verifier Insurance,15,Healthcare,Detroit,Pharmacy Technician,Intermediate Level
15406236,Verifier Insurance,15,Healthcare,Detroit,Pharmacy Technician,Intermediate Level
15406236,Verifier Insurance,15,Healthcare,Detroit,Pharmacy Technician,Intermediate Level
15406236,Verifier Insurance,15,Healthcare,Detroit,Pharmacy Technician,Intermediate Level
15589112,Design Engineer,37.5,Energy/Utilities,Houston,Mechanical Designer,Intermediate Level
15212404,Senior Business Data Analyst,90,Finance/Insurance/Investments,New York City,Business Analyst,Expert Level
15212404,Senior Business Data Analyst,90,Finance/Insurance/Investments,New York City,Business Analyst,Expert Level
15212404,Senior Business Data Analyst,67,Finance/Insurance/Investments,New York City,Business Analyst,Expert Level
15212404,Senior Business Data Analyst,67,Finance/Insurance/Investments,New York City,Business Analyst,Expert Level
15212404,Senior Business Data Analyst,55,Finance/Insurance/Investments,New York City,Business Analyst,Expert Level
15212404,Senior Business Data Analyst,55,Finance/Insurance/Investments,New York City,Business Analyst,Expert Level
15212404,Senior Business Data Analyst,55,Finance/Insurance/Investments,New York City,Business Analyst,Expert Level
15212404,Senior Business Data Analyst,55,Finance/Insurance/Investments,New York City,Business Analyst,Expert Level
15212404,Senior Business Data Analyst,76,Finance/Insurance/Investments,New York City,Business Analyst,Expert Level
15212404,Senior Business Data Analyst,76,Finance/Insurance/Investments,New York City,Business Analyst,Expert Level
15351996,CNC Operator 1st shift,17,Manufacturing,San Diego,Machinist,Expert Level
15373521,Electrician,25,Manufacturing,Grand Rapids,Electrician,Entry Level
14984899,Assembler,15,Information Technology/Telecom,San Diego,Assembler - Light,Intermediate Level
15666040,Quality,23,Manufacturing,Kansas City,QA Technician/Inspector,Intermediate Level
15673638,Warehouse,16,NULL,Seattle,Shipping/Receiving Clerk,Entry Level
15447569,Manufacturing Associate,14,Manufacturing,Hickory-Lenoir-Morganton,General Laborer/Production,Intermediate Level
15447569,Manufacturing Associate,14,Manufacturing,Hickory-Lenoir-Morganton,General Laborer/Production,Intermediate Level
15447569,Manufacturing Associate,14,Manufacturing,Hickory-Lenoir-Morganton,General Laborer/Production,Intermediate Level
15447569,Manufacturing Associate,14,Manufacturing,Hickory-Lenoir-Morganton,General Laborer/Production,Intermediate Level
15447569,Manufacturing Associate,14,Manufacturing,Hickory-Lenoir-Morganton,General Laborer/Production,Intermediate Level
15787004,Designer,42.5,NULL,NULL,Electrical/Electronic Engineer,Intermediate Level
15367285,Machine Operator,15,Unassigned,Minneapolis,Machine Operator,Intermediate Level
15367285,Machine Operator,14,Unassigned,Minneapolis,Machine Operator,Intermediate Level
15367285,Machine Operator,15,Unassigned,Minneapolis,Machine Operator,Intermediate Level
15367285,Machine Operator,15,Unassigned,Minneapolis,Machine Operator,Intermediate Level
15367285,Machine Operator,14,Unassigned,Minneapolis,Machine Operator,Intermediate Level
15367285,Machine Operator,15,Unassigned,Minneapolis,Machine Operator,Intermediate Level
15367285,Machine Operator,14,Unassigned,Minneapolis,Machine Operator,Intermediate Level
15849551,Construction Laborer,18,Unassigned,Tacoma,Drywall Finisher/Carpenter,Expert Level
15673289,Assistant Contract Administrator 1,18,NULL,Seattle,Contracts Admin,Entry Level
15519832,Material Handler,13,Manufacturing,Philadelphia,Forklift/Heavy Machine Operator,Entry Level
15381003,Machine Operator Swing,18,Manufacturing,NULL,General Laborer/Production,Entry Level
15702116,Senior Accountant,35.5,Finance/Insurance/Investments,Oakland,Accountant,Expert Level
15500348,Dock Coordinator,12,Consumer and Industrial Products,Chicago,Forklift/Heavy Machine Operator,Entry Level
14919714,Administrative Assistant,20,NULL,Philadelphia,Receptionist,Entry Level
15433822,Sr Windows Systems Administrator,51.38,Information Technology/Telecom,Boulder,Network/Systems Admin,Intermediate Level
15451998,Document Coordinator CSR,19,Energy/Utilities,Denver,Receptionist,Entry Level
15287471,Stand up Forklift 1st Shift,15,Transportation and Heavy Industrial,Des Moines,Forklift/Heavy Machine Operator,Entry Level
15287471,Stand up Forklift 1st Shift,14,Transportation and Heavy Industrial,Des Moines,Forklift/Heavy Machine Operator,Entry Level
15639069,Press Packer,13.45,Manufacturing,Des Moines,QA Technician/Inspector,Entry Level
15639069,Press Packer,13.45,Manufacturing,Des Moines,QA Technician/Inspector,Entry Level
15820271,Quality Control Analyst II,35,Manufacturing,Washington DC,Chemist,Expert Level
15820271,Quality Control Analyst II,35,Manufacturing,Washington DC,Chemist,Expert Level
15820271,Quality Control Analyst II,35,Manufacturing,Washington DC,Chemist,Expert Level
15820271,Quality Control Analyst II,35,Manufacturing,Washington DC,Chemist,Expert Level
15397476,Materials Planner,21,Professional Services/Consulting,Los Angeles,Purchaser,Intermediate Level
15397476,Materials Planner,21,Professional Services/Consulting,Los Angeles,Purchaser,Intermediate Level
15881628,Production Worker,14.5,Manufacturing,Cincinnati,QA Technician/Inspector,Entry Level
15881628,Production Worker,14.5,Manufacturing,Cincinnati,QA Technician/Inspector,Entry Level
15881628,Production Worker,14.5,Manufacturing,Cincinnati,QA Technician/Inspector,Entry Level
15881628,Production Worker,14.5,Manufacturing,Cincinnati,QA Technician/Inspector,Entry Level
15881628,Production Worker,14.5,Manufacturing,Cincinnati,QA Technician/Inspector,Entry Level
15881628,Production Worker,14,Manufacturing,Cincinnati,QA Technician/Inspector,Entry Level
15881628,Production Worker,14.5,Manufacturing,Cincinnati,QA Technician/Inspector,Entry Level
